year	lake	sites	habitat	sex	Microphallus	tests	Original Source
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	1	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	1	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	1	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	1	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	male	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
1998	Grasmere	middle site	shallow	female	0	"2,4,5"	a
